shopify_order_id,order_name,created_at,price,quantity,city,state,country,currency_code,financial_status,fulfillment_status,brand,channel,platform
gid://shopify/Order/7246993031465,#262470,2026-03-26T18:29:59Z,1495.0,1,Mumbai,Maharashtra,India,INR,PAID,FULFILLED,BTC,D2C,Web
gid://shopify/Order/7246990606633,#262463,2026-03-26T18:28:24Z,5531.0,4,"Gautam Buddha Nagar","Uttar Pradesh",India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246989525289,#262462,2026-03-26T18:27:46Z,1288.0,1,Pune,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246987854121,#262459,2026-03-26T18:26:49Z,5731.0,4,Rupnagar,Punjab,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246987002153,#262458,2026-03-26T18:26:20Z,1497.0,1,BANGALORE,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246986903849,#262456,2026-03-26T18:26:12Z,1044.0,1,Hyderabad,Telangana,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246986379561,#262455,2026-03-26T18:25:52Z,1296.0,1,"Mathrusri Nagar",Telangana,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246986019113,#262454,2026-03-26T18:25:43Z,1744.0,2,Mysore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246985724201,#262453,2026-03-26T18:25:33Z,3606.0,4,Gurgaon,Haryana,India,INR,PAID,UNFULFILLED,Core,D2C,Web
gid://shopify/Order/7246985429289,#262452,2026-03-26T18:25:25Z,5013.0,6,MUMBAI,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246985396521,#262451,2026-03-26T18:25:24Z,4768.0,4,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,BTC,D2C,App
gid://shopify/Order/7246984708393,#262450,2026-03-26T18:24:53Z,1480.0,1,Ghaziabad,"Uttar Pradesh",India,INR,PAID,UNFULFILLED,Core,D2C,Web
gid://shopify/Order/7246984151337,#262447,2026-03-26T18:24:29Z,2963.0,3,Bangalore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,Web
gid://shopify/Order/7246983266601,#262445,2026-03-26T18:23:58Z,1514.0,2,Muzaffarpur,Bihar,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246982349097,#262441,2026-03-26T18:23:33Z,1666.0,2,Pune,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246982086953,#262439,2026-03-26T18:23:27Z,2714.0,2,Ernakulam,Kerala,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246980710697,#262438,2026-03-26T18:22:43Z,2402.0,2,Mumbai,Maharashtra,India,INR,PAID,PARTIALLY_FULFILLED,BTC,D2C,App
gid://shopify/Order/7246980514089,#262437,2026-03-26T18:22:32Z,2783.0,3,Pune,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246978384169,#262430,2026-03-26T18:21:10Z,1897.0,2,Bangalore,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246977368361,#262429,2026-03-26T18:20:32Z,1184.0,1,Mumbai,Maharashtra,India,INR,PAID,UNFULFILLED,Core,D2C,App
gid://shopify/Order/7246974026025,#262422,2026-03-26T18:18:36Z,3548.0,4,Pune,Maharashtra,India,INR,PAID,PARTIALLY_FULFILLED,Core,D2C,App
gid://shopify/Order/7246972059945,#262420,2026-03-26T18:17:33Z,4196.0,4,Bengaluru,Karnataka,India,INR,PAID,UNFULFILLED,Core,D2C,App
